date,weekday,current_state,current_message,attempt_count,response_sizes,raw_html_exists,raw_html_size,historical_table_present,tbody_empty,equity_rows_present,prior_recommendation,previous_successful_local_date,next_successful_local_date,verification_category,confidence,evidence_type,evidence_source_url,evidence_summary,recommended_action
2017-06-27,Tuesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2017-06-22,2017-06-29,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2017,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2017-06-22 and 2017-06-29 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2017-06-28,Wednesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2017-06-22,2017-06-29,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2017,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2017-06-22 and 2017-06-29 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2017-08-14,Monday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2017-08-11,2017-08-15,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2017,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2017-08-11 and 2017-08-15 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2017-09-01,Friday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2017-08-31,2017-09-05,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2017,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2017-08-31 and 2017-09-05 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2017-09-04,Monday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2017-08-31,2017-09-05,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2017,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2017-08-31 and 2017-09-05 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2017-12-01,Friday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2017-11-30,2017-12-04,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2017,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2017-11-30 and 2017-12-04 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2017-12-25,Monday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2017-12-22,2017-12-26,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2017,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2017-12-22 and 2017-12-26 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2018-02-05,Monday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-02-02,2018-02-06,LIKELY_NON_TRADING,medium,Government gazetted-holiday record,https://bhc.gov.pk/public-desk/gazetted-holidays/2018,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2018-02-02 and 2018-02-06 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2018-03-23,Friday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-03-22,2018-03-26,LIKELY_NON_TRADING,medium,Government gazetted-holiday record,https://bhc.gov.pk/public-desk/gazetted-holidays/2018,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2018-03-22 and 2018-03-26 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2018-05-01,Tuesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-04-30,2018-05-02,LIKELY_NON_TRADING,medium,Government gazetted-holiday record,https://bhc.gov.pk/public-desk/gazetted-holidays/2018,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2018-04-30 and 2018-05-02 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2018-06-08,Friday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-06-07,2018-06-11,LIKELY_NON_TRADING,medium,Government gazetted-holiday record,https://bhc.gov.pk/public-desk/gazetted-holidays/2018,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2018-06-07 and 2018-06-11 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2018-06-15,Friday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-06-14,2018-06-19,CONFIRMED_NON_TRADING,high,PSX closure notice reported by Business Recorder,https://www.brecorder.com/news/4610266/psx-holidays-20180614381855,PSX notice explicitly covers the Eid-ul-Fitr closure through 18 June. Local successful sessions bracket it on 2018-06-14 and 2018-06-19; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2018-06-18,Monday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-06-14,2018-06-19,CONFIRMED_NON_TRADING,high,PSX closure notice reported by Business Recorder,https://www.brecorder.com/news/4610266/psx-holidays-20180614381855,PSX notice explicitly covers the Eid-ul-Fitr closure through 18 June. Local successful sessions bracket it on 2018-06-14 and 2018-06-19; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2018-07-25,Wednesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-07-24,2018-07-26,CONFIRMED_NON_TRADING,high,PSX closure notice reported by Business Recorder,https://www.brecorder.com/news/4620294/psx-holiday-20180724393276,PSX notice explicitly says the Exchange was closed for the general-election public holiday. Local successful sessions bracket it on 2018-07-24 and 2018-07-26; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2018-08-14,Tuesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-08-13,2018-08-15,LIKELY_NON_TRADING,medium,Government gazetted-holiday record,https://bhc.gov.pk/public-desk/gazetted-holidays/2018,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2018-08-13 and 2018-08-15 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2018-08-21,Tuesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-08-20,2018-08-24,CONFIRMED_NON_TRADING,high,PSX closure notice reported by Business Recorder,https://www.brecorder.com/news/4626664,PSX notice explicitly covers the Eid-ul-Azha closure. Local successful sessions bracket it on 2018-08-20 and 2018-08-24; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2018-08-22,Wednesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-08-20,2018-08-24,CONFIRMED_NON_TRADING,high,PSX closure notice reported by Business Recorder,https://www.brecorder.com/news/4626664,PSX notice explicitly covers the Eid-ul-Azha closure. Local successful sessions bracket it on 2018-08-20 and 2018-08-24; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2018-08-23,Thursday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-08-20,2018-08-24,CONFIRMED_NON_TRADING,high,PSX closure notice reported by Business Recorder,https://www.brecorder.com/news/4626664,PSX notice explicitly covers the Eid-ul-Azha closure. Local successful sessions bracket it on 2018-08-20 and 2018-08-24; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2018-09-20,Thursday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-09-19,2018-09-24,LIKELY_NON_TRADING,medium,Government gazetted-holiday record,https://bhc.gov.pk/public-desk/gazetted-holidays/2018,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2018-09-19 and 2018-09-24 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2018-09-21,Friday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-09-19,2018-09-24,LIKELY_NON_TRADING,medium,Government gazetted-holiday record,https://bhc.gov.pk/public-desk/gazetted-holidays/2018,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2018-09-19 and 2018-09-24 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2018-11-21,Wednesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-11-20,2018-11-22,LIKELY_NON_TRADING,medium,Government gazetted-holiday record,https://bhc.gov.pk/public-desk/gazetted-holidays/2018,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2018-11-20 and 2018-11-22 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2018-12-25,Tuesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2018-12-24,2018-12-26,LIKELY_NON_TRADING,medium,Government gazetted-holiday record,https://bhc.gov.pk/public-desk/gazetted-holidays/2018,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2018-12-24 and 2018-12-26 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2019-02-05,Tuesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2019-02-04,2019-02-06,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2019,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2019-02-04 and 2019-02-06 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2019-05-01,Wednesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2019-04-30,2019-05-02,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2019,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2019-04-30 and 2019-05-02 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2019-05-31,Friday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2019-05-30,2019-06-03,CONFIRMED_NON_TRADING,high,PSX closure notice reported by Mettis Global,https://mettisglobal.news/psx-to-remain-closed-on-friday,PSX notice explicitly closes the Exchange for Juma-tul-Wida. Local successful sessions bracket it on 2019-05-30 and 2019-06-03; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2019-06-04,Tuesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2019-06-03,2019-06-10,CONFIRMED_NON_TRADING,high,Contemporaneous PSX market report,https://profit.pakistantoday.com.pk/2019/06/03/psx-plunges-469-points-ahead-of-eid,Contemporaneous market report states trading was suspended 4–7 June for Eid-ul-Fitr. Local successful sessions bracket it on 2019-06-03 and 2019-06-10; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2019-06-05,Wednesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2019-06-03,2019-06-10,CONFIRMED_NON_TRADING,high,Contemporaneous PSX market report,https://profit.pakistantoday.com.pk/2019/06/03/psx-plunges-469-points-ahead-of-eid,Contemporaneous market report states trading was suspended 4–7 June for Eid-ul-Fitr. Local successful sessions bracket it on 2019-06-03 and 2019-06-10; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2019-06-06,Thursday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2019-06-03,2019-06-10,CONFIRMED_NON_TRADING,high,Contemporaneous PSX market report,https://profit.pakistantoday.com.pk/2019/06/03/psx-plunges-469-points-ahead-of-eid,Contemporaneous market report states trading was suspended 4–7 June for Eid-ul-Fitr. Local successful sessions bracket it on 2019-06-03 and 2019-06-10; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2019-06-07,Friday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2019-06-03,2019-06-10,CONFIRMED_NON_TRADING,high,Contemporaneous PSX market report,https://profit.pakistantoday.com.pk/2019/06/03/psx-plunges-469-points-ahead-of-eid,Contemporaneous market report states trading was suspended 4–7 June for Eid-ul-Fitr. Local successful sessions bracket it on 2019-06-03 and 2019-06-10; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2019-08-12,Monday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2019-08-09,2019-08-16,CONFIRMED_NON_TRADING,high,PSX closure notice reported by Mettis Global,https://mettisglobal.news/sbp-psx-announce-eid-ul-adha-holidays,Contemporaneous report states PSX was closed 12–15 August. Local successful sessions bracket it on 2019-08-09 and 2019-08-16; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2019-08-13,Tuesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2019-08-09,2019-08-16,CONFIRMED_NON_TRADING,high,PSX closure notice reported by Mettis Global,https://mettisglobal.news/sbp-psx-announce-eid-ul-adha-holidays,Contemporaneous report states PSX was closed 12–15 August. Local successful sessions bracket it on 2019-08-09 and 2019-08-16; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2019-08-14,Wednesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2019-08-09,2019-08-16,CONFIRMED_NON_TRADING,high,PSX closure notice reported by Mettis Global,https://mettisglobal.news/sbp-psx-announce-eid-ul-adha-holidays,Contemporaneous report states PSX was closed 12–15 August. Local successful sessions bracket it on 2019-08-09 and 2019-08-16; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2019-08-15,Thursday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2019-08-09,2019-08-16,CONFIRMED_NON_TRADING,high,PSX closure notice reported by Mettis Global,https://mettisglobal.news/sbp-psx-announce-eid-ul-adha-holidays,Contemporaneous report states PSX was closed 12–15 August. Local successful sessions bracket it on 2019-08-09 and 2019-08-16; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2019-09-09,Monday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2019-09-06,2019-09-11,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2019,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2019-09-06 and 2019-09-11 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2019-09-10,Tuesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2019-09-06,2019-09-11,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2019,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2019-09-06 and 2019-09-11 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2019-12-25,Wednesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2019-12-24,2019-12-26,LIKELY_NON_TRADING,medium,Reliable historical Pakistan holiday calendar,https://www.timeanddate.com/holidays/pakistan/2019,"Historical public-holiday evidence matches the date/cluster, and local successful sessions bracket it on 2019-12-24 and 2019-12-26 with an empty PSX historical table. No date-specific official PSX closure notice was located in this verification pass.",Seek a date-specific PSX notice before reclassification; otherwise retain for manual review.
2020-02-05,Wednesday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2020-02-04,2020-02-06,CONFIRMED_NON_TRADING,high,Official PSX annual holiday calendar,https://dps.psx.com.pk/download/attachment/140396-1.pdf,Date appears in the official PSX 2020 holiday calendar. Local successful sessions bracket it on 2020-02-04 and 2020-02-06; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2020-03-23,Monday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2020-03-20,2020-03-24,CONFIRMED_NON_TRADING,high,Official PSX annual holiday calendar,https://dps.psx.com.pk/download/attachment/140396-1.pdf,Date appears in the official PSX 2020 holiday calendar. Local successful sessions bracket it on 2020-03-20 and 2020-03-24; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
2020-05-01,Friday,temporary_skips,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,903,Yes,Yes,No,likely non-trading/holiday candidate,2020-04-30,2020-05-04,CONFIRMED_NON_TRADING,high,Official PSX annual holiday calendar,https://dps.psx.com.pk/download/attachment/140396-1.pdf,Date appears in the official PSX 2020 holiday calendar. Local successful sessions bracket it on 2020-04-30 and 2020-05-04; raw PSX historical response is empty.,Eligible for later state reconciliation as non-trading after human review.
